        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5]
 1.00e+00,        +8.486646451926e-12,        +8.486646451930e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.318410059311e-12,        +8.623441663049e-01,        +3.907752429950e-12,        +4.604589636300e-01,        +4.758117701727e-13,        +5.606593521575e-02,        +3.019932022464e-13,        +3.558451550409e-02,        +6.485586804611e-13,        +7.642107917833e-02,        +3.975327786904e-12,        +4.684215148376e-01,        +3.680223556252e-14,        +4.336487418321e-03,        +2.693066252334e-13,        +3.173298507942e-02,        +7.063706419247e-15,        +8.323318827124e-04,        +3.226640759575e-14,        +3.802020948853e-03
 2.00e+00,        +8.486646451926e-12,        +8.486646451930e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.926155416904e-12,        +4.626274275880e-01,        +2.253655648622e-12,        +2.655531441527e-01,        +3.930340538091e-12,        +4.631205695153e-01,        +2.205675962382e-12,        +2.598995934231e-01,        +2.739602058928e-13,        +3.228132660465e-02,        +1.784684223324e-12,        +2.102932216433e-01,        +3.086758635458e-13,        +3.637194801201e-02,        +1.940015756898e-12,        +2.285962739095e-01,        +4.751442749312e-14,        +5.598728280042e-03,        +3.026148607038e-13,        +3.565776687150e-02
