        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.039343283770e-01,        +2.078686484390e-05,        +2.500000150002e+03,        +2.543630575368e-13,        +2.771589464694e-08
 2.00e+00,        +2.078686586235e-01,        +4.157373017501e-05,        +2.500000143189e+03,        +1.471087488103e-12,        +1.603360938892e-07
 3.00e+00,        +2.078686591775e-01,        +4.157373000705e-05,        +2.500000159953e+03,        +1.155458765107e-12,        +1.259352326397e-07
 4.00e+00,        +2.324042265491e-01,        +4.648084323021e-05,        +2.500000161853e+03,        +1.536788119821e-12,        +1.675120662077e-07
 5.00e+00,        +2.939706870914e-01,        +5.879413493731e-05,        +2.500000155494e+03,        +2.495178774449e-12,        +2.720518339920e-07
