        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +4.708290826486e+00,        +2.174971920395e-06,        +1.082379680937e+06,        +1.352286984952e-16,        +4.069821859262e-11
 2.00e+00,        +5.685816918084e+00,        +2.634961338131e-06,        +1.078918471365e+06,        +4.493376201952e-16,        +1.352319901559e-10
