        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +5.096192768261e+00,        +2.340197465409e-06,        +1.088838194979e+06,        +6.982467660394e-17,        +4.087716285073e-11
 2.00e+00,        +5.691721374551e+00,        +2.634549822468e-06,        +1.080207579681e+06,        +1.982476584237e-16,        +1.160592938430e-10
