frequency_hz,z0_real,z0_imag,s11_real,s11_imag,s21_real,s21_imag
5.385000000000e+09,4.988523363161e+01,1.480543505832e-04,-3.496034163712e-04,-9.711849386994e-04,9.844812666399e-01,-1.754397632903e-01
5.411250000000e+09,4.988528620265e+01,6.848673689859e-04,-3.530464021284e-04,-9.752726415128e-04,9.843299555591e-01,-1.762861672496e-01
5.437500000000e+09,4.988555663820e+01,9.978458335385e-04,-3.565184961361e-04,-9.792603252811e-04,9.841778863908e-01,-1.771323304769e-01
5.463750000000e+09,4.988582329656e+01,1.044464324003e-03,-3.599672590501e-04,-9.831590212620e-04,9.840251441944e-01,-1.779782616777e-01
5.490000000000e+09,4.988590599436e+01,9.384240880457e-04,-3.633583055994e-04,-9.870075348940e-04,9.838717799126e-01,-1.788240193159e-01
5.516250000000e+09,4.988575554382e+01,8.815628757480e-04,-3.666877117661e-04,-9.908551683949e-04,9.837177897122e-01,-1.796696738854e-01
5.542500000000e+09,4.988547804760e+01,1.055036621444e-03,-3.699808123350e-04,-9.947410190648e-04,9.835631251701e-01,-1.805152685404e-01
5.568750000000e+09,4.988528305500e+01,1.520756715485e-03,-3.732786486857e-04,-9.986792041933e-04,9.834077261086e-01,-1.813607987641e-01
5.595000000000e+09,4.988537962781e+01,2.179557661231e-03,-3.766189103616e-04,-1.002656182771e-03,9.832515566513e-01,-1.822062203199e-01
5.621250000000e+09,4.988586868712e+01,2.806739369145e-03,-3.800203259851e-04,-1.006640435508e-03,9.830946246160e-01,-1.830514791244e-01
5.647500000000e+09,4.988668239465e+01,3.149981240118e-03,-3.834772677577e-04,-1.010599064431e-03,9.829369743991e-01,-1.838965452331e-01
5.673750000000e+09,4.988760033573e+01,3.045398212712e-03,-3.869661113994e-04,-1.014513070941e-03,9.827786583530e-01,-1.847414316353e-01
5.700000000000e+09,4.988833722382e+01,2.498256182703e-03,-3.904592928332e-04,-1.018384322766e-03,9.826197033138e-01,-1.855861874578e-01
5.726250000000e+09,4.988866367813e+01,1.690166180636e-03,-3.939397016137e-04,-1.022231677964e-03,9.824600913385e-01,-1.864308694430e-01
5.752500000000e+09,4.988850569604e+01,9.077613445349e-04,-3.974084629972e-04,-1.026079074136e-03,9.822997658006e-01,-1.872755075157e-01
5.778750000000e+09,4.988797740979e+01,4.238360452322e-04,-4.008828395388e-04,-1.029942021178e-03,9.821386601615e-01,-1.881200835834e-01
5.805000000000e+09,4.988733177679e+01,3.840101745371e-04,-4.043859604147e-04,-1.033819252198e-03,9.819767343712e-01,-1.889645357856e-01
5.831250000000e+09,4.988685123974e+01,7.497292188444e-04,-4.079339152741e-04,-1.037693368472e-03,9.818139994726e-01,-1.898087869604e-01
5.857500000000e+09,4.988672773471e+01,1.322705708487e-03,-4.115266995030e-04,-1.041539762285e-03,9.816505168225e-01,-1.906527832350e-01
5.883750000000e+09,4.988698597605e+01,1.838666681373e-03,-4.151473191934e-04,-1.045339169947e-03,9.814863713160e-01,-1.914965230683e-01
5.910000000000e+09,4.988748364242e+01,2.086812149891e-03,-4.187692885569e-04,-1.049087692850e-03,9.813216313482e-01,-1.923400616250e-01
5.936250000000e+09,4.988798645940e+01,2.000267172474e-03,-4.223687992265e-04,-1.052799566545e-03,9.811563151232e-01,-1.931834876410e-01
5.962500000000e+09,4.988828182721e+01,1.677058183275e-03,-4.259358172982e-04,-1.056501493867e-03,9.809903798842e-01,-1.940268836210e-01
5.988750000000e+09,4.988827753313e+01,1.323989608695e-03,-4.294790568017e-04,-1.060221242095e-03,9.808237393549e-01,-1.948702883709e-01
6.015000000000e+09,4.988804010424e+01,1.151780951040e-03,-4.330226911426e-04,-1.063975675152e-03,9.806563009588e-01,-1.957136795144e-01
6.041250000000e+09,4.988775654844e+01,1.272013972714e-03,-4.365963607890e-04,-1.067763461714e-03,9.804880051058e-01,-1.965569836827e-01
6.067500000000e+09,4.988763960595e+01,1.644483645317e-03,-4.402228637131e-04,-1.071565509176e-03,9.803188484632e-01,-1.974001086916e-01
6.093750000000e+09,4.988782286119e+01,2.098682722982e-03,-4.439087404852e-04,-1.075352812298e-03,9.801488815008e-01,-1.982429819497e-01
6.120000000000e+09,4.988829587121e+01,2.417532088722e-03,-4.476415924027e-04,-1.079098352002e-03,9.799781832130e-01,-1.990855773726e-01
6.146250000000e+09,4.988890944522e+01,2.442158421296e-03,-4.513951157982e-04,-1.082788147784e-03,9.798068263533e-01,-1.999279197429e-01
6.172500000000e+09,4.988944724854e+01,2.147285624741e-03,-4.551397336544e-04,-1.086427052646e-03,9.796348497749e-01,-2.007700669599e-01
6.198750000000e+09,4.988972831697e+01,1.651722904075e-03,-4.588545704335e-04,-1.090037055245e-03,9.794622494513e-01,-2.016120809446e-01
6.225000000000e+09,4.988969086892e+01,1.160103243475e-03,-4.625360891810e-04,-1.093648792435e-03,9.792889895659e-01,-2.024540020984e-01
6.251250000000e+09,4.988941762432e+01,8.650984716850e-04,-4.662000517220e-04,-1.097289551912e-03,9.791150252401e-01,-2.032958385833e-01
6.277500000000e+09,4.988909169662e+01,8.578339900695e-04,-4.698760074299e-04,-1.100972345792e-03,9.789403239435e-01,-2.041375728462e-01
6.303750000000e+09,4.988890578721e+01,1.089363416821e-03,-4.735963187403e-04,-1.104690240195e-03,9.787648752342e-01,-2.049791787519e-01
6.330000000000e+09,4.988896946754e+01,1.400584679296e-03,-4.773837982496e-04,-1.108418200965e-03,9.785886861660e-01,-2.058206381856e-01
6.356250000000e+09,4.988925934670e+01,1.604626281337e-03,-4.812426312603e-04,-1.112121940225e-03,9.784117679055e-01,-2.066619479912e-01
6.382500000000e+09,4.988963537047e+01,1.580735467699e-03,-4.851561476583e-04,-1.115770595854e-03,9.782341233026e-01,-2.075031149481e-01
6.408750000000e+09,4.988991416633e+01,1.333863998076e-03,-4.890925286590e-04,-1.119348511273e-03,9.780557433559e-01,-2.083441439368e-01
6.435000000000e+09,4.988996290623e+01,9.914275757304e-04,-4.930165347579e-04,-1.122861539322e-03,9.778766141764e-01,-2.091850282142e-01
