        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +5.086308098635e+00,        +2.346667367730e-06,        +1.083730094980e+06,        +3.251324823770e-17,        +2.136501733887e-11
 2.00e+00,        +5.794669370550e+00,        +2.684434933023e-06,        +1.079308963549e+06,        +6.307317204758e-17,        +4.144647603614e-11
