frequency_hz,z0_real,z0_imag,s11_real,s11_imag,s21_real,s21_imag
3.675000000000e+09,3.091344472950e+01,2.348846391695e-02,-2.515714745481e-03,-3.139430112316e-02,9.977262119634e-01,-5.200075864881e-02
3.690000000000e+09,3.091426258923e+01,2.287745054456e-02,-2.513739923553e-03,-3.152718321507e-02,9.977451362861e-01,-5.222066383710e-02
3.705000000000e+09,3.091507380103e+01,2.225875784872e-02,-2.512345518644e-03,-3.166053193596e-02,9.977631937108e-01,-5.244137014054e-02
3.720000000000e+09,3.091587757660e+01,2.163386930136e-02,-2.511531980072e-03,-3.179432448792e-02,9.977803825028e-01,-5.266284043597e-02
3.735000000000e+09,3.091667316698e+01,2.100418868254e-02,-2.511299236934e-03,-3.192853868493e-02,9.977967018020e-01,-5.288503857862e-02
3.750000000000e+09,3.091745986127e+01,2.037104254371e-02,-2.511646727824e-03,-3.206315294328e-02,9.978121515739e-01,-5.310792938745e-02
3.765000000000e+09,3.091823698542e+01,1.973568279897e-02,-2.512573429230e-03,-3.219814627172e-02,9.978267325629e-01,-5.333147862995e-02
3.780000000000e+09,3.091900390116e+01,1.909928916687e-02,-2.514077882633e-03,-3.233349826130e-02,9.978404462472e-01,-5.355565300642e-02
3.795000000000e+09,3.091976000476e+01,1.846297164170e-02,-2.516158220395e-03,-3.246918907511e-02,9.978532947966e-01,-5.378042013395e-02
3.810000000000e+09,3.092050472610e+01,1.782777295324e-02,-2.518812190448e-03,-3.260519943766e-02,9.978652810315e-01,-5.400574853003e-02
3.825000000000e+09,3.092123752757e+01,1.719467095029e-02,-2.522037179853e-03,-3.274151062436e-02,9.978764083841e-01,-5.423160759598e-02
3.840000000000e+09,3.092195790310e+01,1.656458098249e-02,-2.525830237259e-03,-3.287810445069e-02,9.978866808611e-01,-5.445796760006e-02
3.855000000000e+09,3.092266537725e+01,1.593835821234e-02,-2.530188094313e-03,-3.301496326145e-02,9.978961030084e-01,-5.468479966062e-02
3.870000000000e+09,3.092335950425e+01,1.531679992032e-02,-2.535107186066e-03,-3.315206991989e-02,9.979046798775e-01,-5.491207572897e-02
3.885000000000e+09,3.092403986716e+01,1.470064773800e-02,-2.540583670402e-03,-3.328940779687e-02,9.979124169928e-01,-5.513976857233e-02
3.900000000000e+09,3.092470607701e+01,1.409058985067e-02,-2.546613446550e-03,-3.342696076002e-02,9.979193203217e-01,-5.536785175676e-02
3.915000000000e+09,3.092535777198e+01,1.348726315132e-02,-2.553192172702e-03,-3.356471316289e-02,9.979253962447e-01,-5.559629963001e-02
3.930000000000e+09,3.092599461661e+01,1.289125535023e-02,-2.560315282778e-03,-3.370264983422e-02,9.979306515279e-01,-5.582508730457e-02
3.945000000000e+09,3.092661630105e+01,1.230310702373e-02,-2.567978002375e-03,-3.384075606727e-02,9.979350932965e-01,-5.605419064072e-02
3.960000000000e+09,3.092722254031e+01,1.172331363700e-02,-2.576175363944e-03,-3.397901760915e-02,9.979387290096e-01,-5.628358622975e-02
3.975000000000e+09,3.092781307353e+01,1.115232749265e-02,-2.584902221206e-03,-3.411742065036e-02,9.979415664362e-01,-5.651325137724e-02
3.990000000000e+09,3.092838766333e+01,1.059055963815e-02,-2.594153262867e-03,-3.425595181441e-02,9.979436136323e-01,-5.674316408660e-02
4.005000000000e+09,3.092894609506e+01,1.003838172681e-02,-2.603923025637e-03,-3.439459814747e-02,9.979448789194e-01,-5.697330304274e-02
4.020000000000e+09,3.092948817622e+01,9.496127843894e-03,-2.614205906608e-03,-3.453334710832e-02,9.979453708637e-01,-5.720364759591e-02
4.035000000000e+09,3.093001373577e+01,8.964096226822e-03,-2.624996174997e-03,-3.467218655828e-02,9.979450982567e-01,-5.743417774583e-02
